AEDAUD,20170601,0.3649,0.369,0.3649,0.369,0
AEDCAD,20170601,0.3667,0.3678,0.3663,0.3678,0
AEDCHF,20170601,0.2656,0.2656,0.2634,0.2644,0
AEDDKK,20170601,1.8117,1.8117,1.7998,1.8046,0
AEDEUR,20170601,0.2435,0.2435,0.2419,0.2426,0
AEDGBP,20170601,0.2125,0.2127,0.211,0.2113,0
AEDINR,20170601,17.59,17.59,17.524,17.529,0
AEDJPY,20170601,30.177,30.317,30.12,30.317,0
AEDNOK,20170601,2.2989,2.2993,2.2932,2.299,0
AEDNZD,20170601,0.3841,0.3854,0.3831,0.3854,0
AEDPKR,20170601,28.518,28.521,28.518,28.521,0
AEDSAR,20170601,1.0204,1.0206,1.0202,1.0204,0
AEDSEK,20170601,2.3758,2.3761,2.362,2.362,0
AEDUSD,20170601,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,20170601,3.5674,3.5937,3.4994,3.5041,0
ALLGBP,20170601,0.0064,0.0064,0.0064,0.0064,0
ARSAUD,20170601,0.083,0.0846,0.0829,0.0844,0
ARSBRL,20170601,0.2017,0.2025,0.1998,0.2024,0
ARSCAD,20170601,0.0834,0.0843,0.0833,0.0842,0
ARSCHF,20170601,0.0604,0.0606,0.06,0.0605,0
ARSEUR,20170601,0.0554,0.0557,0.0551,0.0555,0
ARSGBP,20170601,0.0483,0.0485,0.048,0.0483,0
ARSHKD,20170601,0.4825,0.4866,0.4815,0.4853,0
ARSHUF,20170601,17.05,17.147,16.947,17.099,0
ARSJPY,20170601,6.863,6.948,6.853,6.935,0
ARSMXN,20170601,1.1592,1.1616,1.1548,1.1615,0
ARSSGD,20170601,0.0859,0.0865,0.0855,0.0863,0
ARSUSD,20170601,0.0619,0.0624,0.0619,0.0623,0
ARSZAR,20170601,0.8121,0.8175,0.8026,0.8029,0
AUDAED,20170601,2.74,2.74,2.71,2.71,0
AUDARS,20170601,12.039,12.0534,11.8285,11.8448,0
AUDBRL,20170601,2.4279,2.4288,2.3759,2.3955,0
AUDCAD,20170601,1.0046,1.006,0.9948,0.9975,0
AUDCHF,20170601,0.7278,0.7295,0.715,0.7166,0
AUDCNH,20170601,5.0896,5.1072,4.9705,4.9857,0
AUDCNY,20170601,5.1062,5.1137,5.005,5.0181,0
AUDCZK,20170601,17.663,17.706,17.295,17.314,0
